Customer Name,Employee Name,Route Name,State
C2734,2038,Kolasi Gairabadi,
C2734,2038,Sabji Mandi,
C2808,2038,Barakola,
C2808,2038,Kalabalwa,
C2808,2038,Banmankhi,
C2808,2038,Jhahua,
C2055,2038,Narpatganj 1,
C2055,2038,Narpatganj 2,
C1786,2038,Raniganj Local,
C2684,2038,Bada Edgah,
C2684,2038,Jalalgarh,
C2684,2038,Nemaida,
C2684,2038,Kasba Local,
C2807,2038,Sonvarsha-Tejnagra,
C2807,2038,Sabji Mandi-Galla Mandi,
C2807,2038,Saharsha Local,
C2807,2038,Saharsha Kachehari,
C0822,2038,Supaul Local,
C0822,2038,Pepra,
C0822,2038,Bhaptiyahi Farbitta Supaul,
C2042,2038,Singheshwar,
C2042,2038,Mathai,
C2202,2038,Khagaria 2,
C2202,2038,Khagaria Local,
C2202,2038,Mahesh Kut,
C2653,2038,Bakhri Local,
C2870,2030,Sabji Mandi-Galla Mandi,
C2296,2030,Sabji Mandi-Galla Mandi,
C2806,2030,Local-Raxoul,
C2704,2030,Main Bazar-Ghorashan,
C2700,2030,Angarghat,
C2700,2030,Ashaghat,
C2700,2030,Haya Ghat,
C2700,2030,Musari-Gharari,
C1767,2030,Hasanpur Road-Bethan,
C2188,2030,Janki Asthan,
C2658,2030,Kachi Pakki Road,
C2658,2030,Maripur-Govarsahi,
C1725,2030,Main Road-Teghra,
C2534,2030,Majha Bazar,
C2534,2030,Meerganj,
C2534,2030,Thave Bazar,
C2534,2030,Yadavpur Road,
C1667,2030,Sabji Mandi,
C1721,2030,Satha,
C1721,2030,Chanpatiya,
C2463,2030,Areraj,
C2463,2030,Lakhaura,
C2463,2030,Turkoliya,
C2463,2030,Jeevadhara,
C2463,2030,Pipra Bazar,
C2683,2030,Main Bazar-Station Road,
C2041,2030,Main Bazar-Kusheshar Asthan,
C2710,2018,Station Bazar-Barh,
C2710,2018,Court Bazar,
C2972,2018,Sabji Mandi-Lakhisara,
C2972,2018,Bazar Samiti,
C1864,2018,Bausi Local-Dumka Road,
C2551,2018,Jhanjha Local,
C2551,2018,Sono Bazar,
C2551,2018,Khaparia-Batia,
C2551,2018,Gidhaur,
C2209,2018,Sikandara Local,
C2209,2018,Aliganj-Mirzaganj,
C2726,2018,Chandni Chowk,
C2319,2018,Sabji Mandi-Gola Road,
C2323,2018,Arra,
C2323,1930,Arra,
C2323,2018,Dhobi Ghat-Arra,
C2323,1930,Dhobi Ghat-Arra,
C2323,2018,Sahar,
C2323,1930,Sahar,
C2323,2018,Local-Main Market,
C2323,1930,Local-Main Market,
C2323,2018,Grahni,
C2323,1930,Grahni,
C2323,2018,Babra,
C2323,1930,Babra,
C2323,2018,Chandi,
C2323,1930,Chandi,
C2323,2018,Dumraon,
C2323,1930,Dumraon,
C1939,2018,Bazar Samiti,
C1939,1930,Bazar Samiti,
C1939,2018,Bihta Local,
C1939,1930,Bihta Local,
C1939,2018,Mandir Ke Pass-Bihta Local,
C1939,1930,Mandir Ke Pass-Bihta Local,
C1939,2018,Pul Par,
C1939,1930,Pul Par,
C1544,2018,Shastri Nagar,
C2257,2018,KashiChak-Shekhupur,
C2257,1930,KashiChak-Shekhupur,
C1875,1930,Kutumba,
C1875,1930,Madanpur,
C1875,1930,G.T. Road Madan Pur,
C1875,1930,Main Road-Nabi Nagar,
C2809,1930,Aurangabad Local,
C2809,1930,Dharamshala,
C2803,1930,New Godam,
C2803,1930,Telbigha,
C2803,1930,Manpur,
C2803,1930,Gaya Collage,
C2627,1930,Hatpar Road,
C2627,1930,Kako,
C2627,1930,Dharamshala Road,
C2261,1930,Bedrabad Local,
C2725,1930,Gola Road-Main Market,
C0321,1072,Uska Bazar,
C0321,1072,Sohansh,
C0546,1072,Local-Tetri Bazar,
C0546,1072,Bardpur,
C0546,1072,Mohane,
C0986,1072,Local-Anand Nagar,
C1376,1072,Sohansh,
C1376,1072,Local-Loten Bazar,
C1376,1072,Thuthari -  Sikri,
C1430,1072,Local-Kulhui Bazar,
C1430,1072,Ramsarwa,
C1801,1072,Local-Nedwa,
C2540,1072,Local-Nandepar,
C2540,1072,Aligarwa,
C2540,1072,Kakarhwan,
C2573,1072,Local-barhni,
C2616,1072,Local-Bansi,
C2616,1072,Narkatha,
C2705,1072,Shohratgarh,
C2705,1072,Chilhiva,
C2882,1072,Itwa Bazar,
C2021,1074,Local-Nichloul,
C2089,1074,Local-Amrutiya Bazar,
C2093,1074,Bhiti Rawat-Maghar,
C2093,1074,Local-Sahjanwa,
C2094,1074,Local- Ramkola,
C2096,1074,Local -Nautanwa,
C2440,1074,Sukrauli,
C2440,1074,Belkata,
C2440,1074,Dumari,
C2552,1039,Local -Rudrapur,
C0238,1074,Nai Bazar To Barhi,
C0238,1074,Rajdhani To Karjaha,
C0238,1074,Phutahwa - Sardar Nagar,
C0432,1074,Local-Pipraich,
C0432,1074,Ahirauli - Jagdishpur,
C0432,1074,Mansoorganj -Mujahna,
C1142,1074,Local -Dohrighat,
C1256,1074,P.P. Ganj,
C1256,1074,Local-Kauria,
C1256,1074,Balapar - Maharajganj,
C1256,1074,Badhya Chowk,
C1256,1074,Mujuri - Paniyara,
C1811,1074,Belghat- Kuri Bazar,
C1811,1074,Dughara,
C1811,1074,Kui Bazar,
C1811,1074,Sonvarsha,
C1811,1074,Satuabhar- Bigahi,
C2687,1074,Local- Gola Bazar,
C0001,1024,Local - Maharajganj,
C0001,1024,Khutha,
C0001,1024,Chowk bazar,
C0001,1024,Shikarpur-Dharampur,
C0001,1024,Sinduriya-Mithaura,
C0063,1024,Local-Nichlaul,
C0063,1007,Local-Nichlaul,
C0063,1024,Jhulnipur-Nahar Road,
C0063,1007,Jhulnipur-Nahar Road,
C0246,1039,Local-Nautanwa,
C0246,1227,Local-Nautanwa,
C0456,1024,Local -Kranti Chauraha,
C0456,1007,Local -Kranti Chauraha,
C0456,1024,Bhuwani-Jakhira-Barigaon,
C0456,1007,Bhuwani-Jakhira-Barigaon,
C0456,1024,Bailwa-Puraina-Basantpur-Rampur,
C0456,1007,Bailwa-Puraina-Basantpur-Rampur,
C1203,1024,Local-Siswan Bazar,
C1203,1007,Local-Siswan Bazar,
C1203,1024,Khadda,
C1203,1007,Khadda,
C1203,1024,Sinduriya,
C1203,1007,Sinduriya,
C1203,1024,Khanda,
C1203,1024,Chitauni,
C1203,1024,Belwa-Bihari Chapra,
C1203,1024,Katehari,
C1203,1024,Gherwa-Baluipur,
C0893,1024,Local -Thoothibari,
C0893,1007,Local -Thoothibari,
C2399,1024,Mahdeva-Harpur,
C2399,1007,Mahdeva-Harpur,
C2399,1024,Shyam Deurva,
C2399,1007,Shyam Deurva,
C2399,1024,Local-Partawal,
C2399,1007,Local-Partawal,
C0669,1024,Local -Captanganj,
