DNS Emp Code,Employee Name,Branch,Vertical value,Reporting to,Email,Phone no,Sale access,Designation,HQ,State,Zone,acedns,District
,GM - Sales,,,,,,secondary,General Manager,Phnom Penh,Phnom Penh,,Y,
,RSM - 1,,,GM - Sales,,,secondary,Regional Manager,Phnom Penh,Phnom Penh,,Y,
,ASM -Banteay Meanchey,,,RSM - 1,,,secondary,Area Sales Manager,Banteay Meanchey,Banteay Meanchey,,Y,
,ASM -Battambang,,,RSM - 1,,,secondary,Area Sales Manager,Battambang,Battambang,,Y,
,ASM -Kampong Cham,,,RSM - 1,,,secondary,Area Sales Manager,Kampong Cham,Kampong Cham,,Y,
,ASM -Kampong Chhnang,,,RSM - 1,,,secondary,Area Sales Manager,Kampong Chhnang,Kampong Chhnang,,Y,
,ASM -Kampong Speu,,,RSM - 1,,,secondary,Area Sales Manager,Kampong Speu,Kampong Speu,,Y,
,ASM -Phnom Penh,,,RSM - 1,,,secondary,Area Sales Manager,Phnom Penh,Phnom Penh,,Y,
,SO -MALAI,,,ASM -Banteay Meanchey,,,secondary,Sales Officer,MALAI,Banteay Meanchey,,Y,
,SO -BANAN,,,ASM -Battambang,,,secondary,Sales Officer,BANAN,Battambang,,Y,
,SO -STUNG TRANG,,,ASM -Kampong Cham,,,secondary,Sales Officer,STUNG TRANG,Kampong Cham,,Y,
,SO -BORIBO,,,ASM -Kampong Chhnang,,,secondary,Sales Officer,BORIBO,Kampong Chhnang,,Y,
,SO -THPONG,,,ASM -Kampong Speu,,,secondary,Sales Officer,THPONG,Kampong Speu,,Y,
,SO -MEAN CHEY,,,ASM -Phnom Penh,,,secondary,Sales Officer,MEAN CHEY,Phnom Penh,,Y,
,SO -POSENCHEY,,,ASM -Phnom Penh,,,secondary,Sales Officer,POSENCHEY,Phnom Penh,,Y,
,MI Food & Beverage Supply,,,,,,primary,Distributor,,,,Y,
,Swiss Food Cam,,,,,,primary,Retailer,,,,Y,
