DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State
,"MI Food & Beverage Supply",,,"Boeng Beng",SO -MALAI,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,
,"Lee's Food Services (Cambodia) Ltd.",,,"SO -MALAI",SO -MALAI,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,
,"Mekong Food Group (Cambodia) Ltd",,,"O Sralau",SO -MALAI,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,
,"Silver Tree Food Co., Ltd.",,,"Ta Kong",SO -MALAI,Y,0,,0,N,0,,D,"",,"",,"",,,,,,,,0,,,,,
,"Cam Food",,,"Tuol Pongro",SO -MALAI,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"7's Food",,,"Bay Damram",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Best Food Company",,,"Cheng Mianchey",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Cugrand Food Co., Ltd.",,,"Chheu Teal",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Food Matrix Co., Ltd.",,,"Kantu 1",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Halal Food",,,"Kantu 2",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"2Skin Food",,,"Phnom Sampeou",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"VVIP Bar & Food",,,"Snoeng",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Super Food BBQ",,,"Ta Kriem",SO -BANAN,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Food Monthly",,,"Arak Thnot",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Nai Khmer Food",,,"Dang Khdar",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Korean Food",,,"Khporp Ta Nguon",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Best Food Gourmet Co., Ltd",,,"Mesar Chrey",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Noun Food Co., Ltd",,,"O Mlou",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"L & F Sea Food Company",,,"Peam Koh Sna",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"The KS Food House",,,"Preah Andaung",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Best Food Gourmet Co., Ltd.",,,"Prek Bak",SO -STUNG TRANG,Y,0,,0,N,0,,R,"MI Food & Beverage Supply",,"",,"",,,,,,,,0,,,,,
,"Swiss Food Cam",,,"Prek Kak",SO -STUNG TRANG,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Home Food",,,"Sopheas",SO -STUNG TRANG,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Che? Mey First Fast Food",,,"Tuol Preah khleang",SO -STUNG TRANG,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Elite Food Co., Ltd.",,,"Tuol Sambour",SO -STUNG TRANG,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Gogos K-Food",,,"Anchanh Roung",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Fei Zi Sea Food Restaurant",,,"Chak",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Kampot Sea Food",,,"Chhnok Trou",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Food Icon Co., Ltd.",,,"Kampong Preah Koki",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Seoul Food & Beverage Co., Ltd.",,,"Khon Rong",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"San Food & Beverage Supply",,,"Melum",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"EFG (Express Food Group) Co., Ltd.",,,"Phsar",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Kim Mart Korea Food",,,"Pich Changvar",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Honly Food & Beverage Co., Ltd.",,,"Popel",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Kirirom Food Production (K.F.P) Co., Ltd.",,,"Pun Ley",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Sawasdee Food Garden",,,"Trapeang Chan",SO -BORIBO,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Ebaba Food Drink",,,"Boeng Tumpun",SO -MEAN CHEY,Y,0,,0,N,0,,R,"Lee's Food Services (Cambodia) Ltd.",,"",,"",,,,,,,,0,,,,,
,"Sawasdee Food Garden",,,"Chak Angre krom",SO -MEAN CHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Ebaba Food Drink",,,"Chak Angre Leu",SO -MEAN CHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Kampuchea Food Corporation Co., Ltd.",,,"Stung Meanchey",SO -MEAN CHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Nana My Baby Food",,,"Boeng Thom",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Mi Chay Vegeterian Food",,,"Chom Chao",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"King Crab Sea Food",,,"Kakap",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"King Food Restaurant",,,"Kambol",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Srey Ny Cool Bar Sea Food",,,"Kan Tok",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Alex Food Court",,,"Kraing Thnong",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Healthy Food & Beverage Co., Ltd",,,"Oeuv Loak",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Ky Siv Chheng Protein Food",,,"Phleung Chhesrotes",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
,"Garden Bar Pizza Food",,,"Samrong Krom",SO -POSENCHEY,Y,0,,0,N,0,,R,"Mekong Food Group (Cambodia) Ltd",,"",,"",,,,,,,,0,,,,,
