DNS Customer Code,Customer Name,Phone no,Route code,Route Name,Emp Code name,acedns,Credit Limit,Credit Days,Current Balance,Black list,TD,Branch code,Cust type,rds tag,Sauda validity period,Address,Landline no,Owner name,Owner phone,Cust class,Weekly closing day,Coverage type,TIN,PAN,District,Minimum stock,Bank name,Bank account number,Email,Visit Day,State
,"Maa Basanti Dresses",9437811847,,"BAHALDA",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Banti Dresses",9437857228,,"BAHALDA",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Mayur Dresses",9437674776,,"BAHALDA",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Raj Fashion",8598053809,,"BAHALDA",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Subham Textiles",7205753406,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Susma Outfit.",9439378064,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Friends Garments",9437321106,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Shyam Garments",9437037289,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Posak",9437320870,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Gopal Cloth Store",9437237760,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"",,"",,,,,,,,,,,,,
,"Maury Dresses",9437674776,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITTAL AGENCY",,"",,"",,,,,,,,,,,,,
NE000220170117131617,"BATIKA",9437103978,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"RAIRAMPUR.",,"",,,,,,,,,,,,,
NE000220170117142545,"ODISHI",9437038510,,"RAIRAMPUR",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"MITESH TEXTILE",,"RAIRAMPUR",,"",,,,,,,,,,,,,
,"Puja Textiles",7682812300,,"BHABANIPATNA.",Abhisek Jena,Y,0,,0,N,0,KOLKATA,R,"",,"",,"",,,,,,,,,,,,,
